taxid	name	kingdom	best_accession	assembly_name	assembly_level	release_date	has_annotation	protein_coding_genes	scaffold_n50_kb	total_length_mb	n_assemblies	fasta_type	notes
105487	105487	fungi	GCA_000818155.1	ASM81815v1	Chromosome	2015-01-20	True	11284	3351	44.7	4	cds	GenBank_only(no_RefSeq)
694573	694573	fungi	GCA_000818155.1	ASM81815v1	Chromosome	2015-01-20	True	11284	3351	44.7	4	cds	GenBank_only(no_RefSeq)
914237	914237	fungi	GCA_046529785.1	ASM4652978v1	Complete Genome	2025-01-07	True	13726	3757	57.8	2	cds	GenBank_only(no_RefSeq)
5599	Alternaria alternata	fungi	GCA_016097525.1	ASM1609752v1	Scaffold	2020-12-16	True	24347	2282	35.0	150	cds	GenBank_only(no_RefSeq)
29001	Alternaria brassicicola	fungi	GCA_059186605.1	Altbr_DSM62008	Contig	2026-07-10	True	9763	2019	33.7	11	cds	GenBank_only(no_RefSeq); contig_level
135859	Alternaria citri	fungi					False				0		NCBI query failed
160389	Alternaria longipes	fungi	GCA_019059555.1	ASM1905955v1	Chromosome	2021-06-29	False		3599	39.4	1	genome	no_annotation→skip; GenBank_only(no_RefSeq)
48097	Alternaria panax	fungi	GCA_019702505.1	ASM1970250v1	Scaffold	2021-08-20	True	11837	4172	34.8	1	cds	GenBank_only(no_RefSeq)
48100	Alternaria solani	fungi	GCA_002952155.1	ASM295215v1	Complete Genome	2018-02-14	False		2867	32.8	4	genome	no_annotation→skip; GenBank_only(no_RefSeq)
205686	Ascochyta lentis	fungi	GCA_016097375.2	AlKewell	Complete Genome	2025-03-24	True	13938	1825	41.7	15	cds	GenBank_only(no_RefSeq)
5454	Ascochyta rabiei	fungi	GCF_004011695.2	ASM401169v2	Complete Genome	2022-08-25	True	11525	1945	40.8	23	cds	
40993	Aspergillus carbonarius	fungi	GCA_001990825.1	Aspca3	Scaffold	2017-02-15	True	11475	1828	36.1	1	cds	GenBank_only(no_RefSeq)
5059	Aspergillus flavus	fungi	GCF_009017415.1	ASM901741v1	Complete Genome	2019-10-13	True	13707	4810	37.7	343	cds	
5061	Aspergillus niger	fungi	GCA_055697485.1	ASM5569748v1	Chromosome	2026-03-05	True	11113	4304	35.6	128	cds	GenBank_only(no_RefSeq)
40380	Aspergillus ochraceus	fungi	GCA_026108165.1	ASM2610816v1	Scaffold	2022-11-09	False		1169	35.1	5	genome	no_annotation→skip; GenBank_only(no_RefSeq)
176275	Beauveria bassiana	fungi	GCF_000280675.1	ASM28067v1	Scaffold	2012-08-14	True	10364	730	33.7	227	cds	OLD_assembly(2012)
5016	Bipolaris maydis	fungi	GCF_028858645.1	CocheC4_6	Scaffold	2023-02-23	True	11323	2056	37.8	13	cds	
101162	Bipolaris oryzae	fungi	GCF_000523455.1	Cochliobolus miyabeanus v1.0	Scaffold	2014-01-30	True	12000	134	31.4	11	cds	OLD_assembly(2014)
45130	Bipolaris sorokiniana	fungi	GCF_000338995.1	Cocsa1	Scaffold	2013-02-19	True	12210	1789	34.4	20	cds	OLD_assembly(2013)
40125	Bipolaris victoriae	fungi	GCF_000527765.1	Cochliobolus victoriae v1.0	Scaffold	2014-02-03	True	12882	231	32.8	3	cds	OLD_assembly(2014)
5017	Bipolaris zeicola	fungi	GCF_000523435.1	Cochliobolus carbonum v1.0	Scaffold	2014-01-30	True	12848	110	31.3	5	cds	OLD_assembly(2014)
34373	Blumeria graminis	fungi	GCA_905067625.1	Bgtriticale_THUN12_genome_v1_2	Chromosome	2021-06-18	True	7993	15158	141.4	9	cds	GenBank_only(no_RefSeq)
55169	Botryosphaeria dothidea	fungi	GCA_021436945.2	ASM2143694v2	Scaffold	2024-04-12	True	12423	302	45.1	141	cds	GenBank_only(no_RefSeq)
40559	Botrytis cinerea	fungi	GCA_000227075.1	BotFuc_Mar2011	Scaffold	2011-03-11	True	16353	562	39.5	66	cds	OLD_assembly(2011); GenBank_only(no_RefSeq)
278938	Botrytis elliptica	fungi	GCA_004786205.1	ASM478620v1	Scaffold	2019-04-12	True	12555	37	47.6	3	cds	GenBank_only(no_RefSeq)
5158	Ceratocystis fimbriata	fungi	GCA_000389695.3	Cfim3.0	Scaffold	2017-10-18	True	7266	174	30.0	8	cds	GenBank_only(no_RefSeq)
312341	Ceratocystis harringtonii	fungi	GCA_002018265.1	ASM201826v1	Scaffold	2017-03-03	False		66	26.1	1	genome	no_annotation→skip; GenBank_only(no_RefSeq)
929235	Ceratocystis manginecans	fungi	GCA_006681795.1	ASM668179v1	Scaffold	2019-07-05	False		94	31.6	8	genome	no_annotation→skip; GenBank_only(no_RefSeq)
132184	Cercospora apii	fungi	GCA_026120055.1	ASM2612005v1	Scaffold	2022-11-10	False		687	33.8	2	genome	no_annotation→skip; GenBank_only(no_RefSeq)
122368	Cercospora beticola	fungi	GCF_033473495.1	ASM3347349v1	Complete Genome	2023-11-09	True	13144	4240	36.1	8	cds	
1868926	Cercospora cf. flagellaris	fungi	GCA_058382225.1	CFLAG_v1	Scaffold	2026-06-24	False		2900	33.6	2	genome	no_annotation→skip; GenBank_only(no_RefSeq)
84275	Cercospora kikuchii	fungi	GCF_019650295.1	Ck_assembly01	Contig	2021-07-08	True	13001	4190	34.4	4	cds	contig_level
29003	Cercospora nicotianae	fungi	GCA_002994015.1	CNIC01	Scaffold	2018-03-12	False		330	33.4	2	genome	no_annotation→skip; GenBank_only(no_RefSeq)
135779	Cercospora zeae-maydis	fungi	GCA_010093985.1	Cerzm1	Scaffold	2020-01-31	True	12008	720	46.6	2	cds	GenBank_only(no_RefSeq)
984309	Ciboria shiraiana	fungi	GCA_008122225.1	ASM812222v1	Contig	2019-08-29	False		2399	39.1	1	genome	no_annotation→skip; GenBank_only(no_RefSeq); contig_level
5111	Claviceps purpurea	fungi	GCA_000347355.1	ASM34735v1	Scaffold	2012-08-02	True	8823	433	32.1	58	cds	OLD_assembly(2012); GenBank_only(no_RefSeq)
29856	Clonostachys rosea	fungi	GCA_902827195.2	C_rosea_IK726	Scaffold	2022-05-03	True	21141	1902	70.7	16	cds	GenBank_only(no_RefSeq)
27357	Colletotrichum acutatum	fungi	GCF_030867785.1	Colac2	Contig	2023-08-24	True	15032	300	49.1	33	cds	contig_level
702518	Colletotrichum asianum	fungi	GCA_045514765.1	ASM4551476v1	Scaffold	2024-12-02	True	16276	683	58.2	4	cds	GenBank_only(no_RefSeq)
538528	Colletotrichum camelliae	fungi	GCA_011947485.2	ASM1194748v2	Scaffold	2021-09-10	True	14390	198	57.8	3	cds	GenBank_only(no_RefSeq)
27358	Colletotrichum coccodes	fungi	GCA_002249775.1	ASM224977v1	Scaffold	2017-08-11	False		342	50.1	3	genome	no_annotation→skip; GenBank_only(no_RefSeq)
